 Sample ID, Sample well, Sample volume (ml), Dilution factor, Events to Acquire, Time Limit, Replicates, Autosave FCS 2.0 files, Mix Time (sec), Mix Speed (rpm),, General settings, 
, T1,0.25,1,10000,600, No, No,3,Medium,,Assay Type, InCyte
, T2,0.25,1,10000,600, No, No,3,Medium,,Acquisition Order, by Row
, T3,0.25,1,10000,600, No, No,3,Medium,,Do Clean,Once at the end of plate
, T4,0.25,1,10000,600, No, No,3,Medium,,Wash only capillary,No
, T5,0.25,1,10000,600, No, No,3,Medium,,Wash both capillary and mixer,Yes
, T6,0.25,1,10000,600, No, No,3,Medium,,Mixing,Yes
, T7,0.25,1,10000,600, No, No,3,Medium,,Cleaning Option,Clean and Rinse
, T8,0.25,1,10000,600, No, No,3,Medium,,Limit for high concentration warning (cells/µL),500
, T9,0.25,1,10000,600, No, No,3,Medium,,Park Capillary,T09
, T10,0.25,1,10000,600, No, No,3,Medium,,,
E0, A1,0.2,1,10000,600,2, No,3,Medium,,,
E0.5, A2,0.2,1,10000,600,2, No,3,Medium,,,
E1, A3,0.2,1,10000,600,2, No,3,Medium,,,
E1.5, A4,0.2,1,10000,600,2, No,3,Medium,,,
E2, A5,0.2,1,10000,600,2, No,3,Medium,,,
E2.5, A6,0.2,1,10000,600,2, No,3,Medium,,,
E3, A7,0.2,1,10000,600,2, No,3,Medium,,,
E3.5, A8,0.2,1,10000,600,2, No,3,Medium,,,
E4, A9,0.2,1,10000,600,2, No,3,Medium,,,
E4.5, A10,0.2,1,10000,600,2, No,3,Medium,,,
E5, A11,0.2,1,10000,600,2, No,3,Medium,,,
E5.5, A12,0.2,1,10000,600,2, No,3,Medium,,,
E6, B1,0.2,1,10000,600,2, No,3,Medium,,,
E6.5, B2,0.2,1,10000,600,2, No,3,Medium,,,
E7, B3,0.2,1,10000,600,2, No,3,Medium,,,
E8, B4,0.2,1,10000,600,2, No,3,Medium,,,
E9, B5,0.2,1,10000,600,2, No,3,Medium,,,
E10, B6,0.2,1,10000,600,2, No,3,Medium,,,
E11, B7,0.2,1,10000,600,2, No,3,Medium,,,
E11_P, B8,0.2,1,10000,600,2, No,3,Medium,,,
E12, B9,0.2,1,10000,600,2, No,3,Medium,,,
E13, B10,0.2,1,10000,600,2, No,3,Medium,,,
E15, B11,0.2,1,10000,600,2, No,3,Medium,,,
, B12,0.2,1,10000,600,2, No,3,Medium,,,
F0, C1,0.2,1,10000,600,2, No,3,Medium,,,
F0.5, C2,0.2,1,10000,600,2, No,3,Medium,,,
F1, C3,0.2,1,10000,600,2, No,3,Medium,,,
F1.5, C4,0.2,1,10000,600,2, No,3,Medium,,,
F2, C5,0.2,1,10000,600,2, No,3,Medium,,,
F2.5, C6,0.2,1,10000,600,2, No,3,Medium,,,
F3, C7,0.2,1,10000,600,2, No,3,Medium,,,
F3.5, C8,0.2,1,10000,600,2, No,3,Medium,,,
F4, C9,0.2,1,10000,600,2, No,3,Medium,,,
F4.5, C10,0.2,1,10000,600,2, No,3,Medium,,,
F5, C11,0.2,1,10000,600,2, No,3,Medium,,,
F5.5, C12,0.2,1,10000,600,2, No,3,Medium,,,
F6, D1,0.2,1,10000,600,2, No,3,Medium,,,
F6.5, D2,0.2,1,10000,600,2, No,3,Medium,,,
F7, D3,0.2,1,10000,600,2, No,3,Medium,,,
F8, D4,0.2,1,10000,600,2, No,3,Medium,,,
F9, D5,0.2,1,10000,600,2, No,3,Medium,,,
F10, D6,0.2,1,10000,600,2, No,3,Medium,,,
F11, D7,0.2,1,10000,600,2, No,3,Medium,,,
F11_P, D8,0.2,1,10000,600,2, No,3,Medium,,,
F12, D9,0.2,1,10000,600,2, No,3,Medium,,,
F13, D10,0.2,1,10000,600,2, No,3,Medium,,,
F15, D11,0.2,1,10000,600,2, No,3,Medium,,,
, D12,0.2,1,10000,600,2, No,3,Medium,,,
Leachate, E1,0.2,1,10000,600,2, No,3,Medium,,,
UV_Leachate, E2,0.2,1,10000,600,2, No,3,Medium,,,
, E3,0.2,1,10000,600,2, No,3,Medium,,,
, E4,0.2,1,10000,600,2, No,3,Medium,,,
, E5,0.2,1,10000,600, No, No,3,Medium,,,
, E6,0.2,1,10000,600, No, No,3,Medium,,,
, E7,0.2,1,10000,600, No, No,3,Medium,,,
, E8,0.2,1,10000,600, No, No,3,Medium,,,
, E9,0.2,1,10000,600, No, No,3,Medium,,,
, E10,0.2,1,10000,600, No, No,3,Medium,,,
, E11,0.2,1,10000,600, No, No,3,Medium,,,
, E12,0.2,1,10000,600, No, No,3,Medium,,,
, F1,0.2,1,10000,600, No, No,3,Medium,,,
, F2,0.2,1,10000,600, No, No,3,Medium,,,
, F3,0.2,1,10000,600, No, No,3,Medium,,,
, F4,0.2,1,10000,600, No, No,3,Medium,,,
, F5,0.2,1,10000,600, No, No,3,Medium,,,
, F6,0.2,1,10000,600, No, No,3,Medium,,,
, F7,0.2,1,10000,600, No, No,3,Medium,,,
, F8,0.2,1,10000,600, No, No,3,Medium,,,
, F9,0.2,1,10000,600, No, No,3,Medium,,,
, F10,0.2,1,10000,600, No, No,3,Medium,,,
, F11,0.2,1,10000,600, No, No,3,Medium,,,
, F12,0.2,1,10000,600, No, No,3,Medium,,,
, G1,0.2,1,10000,600, No, No,3,Medium,,,
, G2,0.2,1,10000,600, No, No,3,Medium,,,
, G3,0.2,1,10000,600, No, No,3,Medium,,,
, G4,0.2,1,10000,600, No, No,3,Medium,,,
, G5,0.2,1,10000,600, No, No,3,Medium,,,
, G6,0.2,1,10000,600, No, No,3,Medium,,,
, G7,0.2,1,10000,600, No, No,3,Medium,,,
, G8,0.2,1,10000,600, No, No,3,Medium,,,
, G9,0.2,1,10000,600, No, No,3,Medium,,,
, G10,0.2,1,10000,600, No, No,3,Medium,,,
, G11,0.2,1,10000,600, No, No,3,Medium,,,
, G12,0.2,1,10000,600, No, No,3,Medium,,,
, H1,0.2,1,10000,600, No, No,3,Medium,,,
, H2,0.2,1,10000,600, No, No,3,Medium,,,
, H3,0.2,1,10000,600, No, No,3,Medium,,,
, H4,0.2,1,10000,600, No, No,3,Medium,,,
, H5,0.2,1,10000,600, No, No,3,Medium,,,
, H6,0.2,1,10000,600, No, No,3,Medium,,,
, H7,0.2,1,10000,600, No, No,3,Medium,,,
, H8,0.2,1,10000,600, No, No,3,Medium,,,
, H9,0.2,1,10000,600, No, No,3,Medium,,,
, H10,0.2,1,10000,600, No, No,3,Medium,,,
, H11,0.2,1,10000,600, No, No,3,Medium,,,
, H12,0.2,1,10000,600, No, No,3,Medium,,,